loan_id,customer_id,loan_type,loan_amount,interest_rate,term_months,monthly_payment,remaining_balance,open_date,status,credit_score,annual_income,debt_to_income_ratio
LOAN-0486,CUST-01272,Business,32554.22,8.24,48,798.42,2034.64,2021-03-16,Late,610,115171.78,0.379
LOAN-0487,CUST-01056,Business,68836.8,16.3,48,1961.45,11472.8,2021-08-06,Active,693,65178.79,0.194
LOAN-0488,CUST-01449,Auto,72454.32,3.53,36,2124.02,14088.34,2022-07-03,Active,796,40376.72,0.178
LOAN-0489,CUST-00871,Mortgage,18125.66,17.8,48,530.55,5664.27,2022-03-08,Active,810,30387.73,0.272
LOAN-0490,CUST-00440,Business,10269.53,9.94,12,902.57,0.0,2022-10-05,Closed,714,112508.44,0.309
LOAN-0491,CUST-01119,Student,32311.47,12.08,48,852.15,10097.33,2022-03-09,Active,569,46251.97,0.126
LOAN-0492,CUST-01431,Mortgage,26554.99,15.64,360,349.4,17260.74,2022-03-11,Defaulted,543,34781.16,0.146
LOAN-0493,CUST-00972,Mortgage,116150.56,17.4,12,10615.54,0.0,2022-04-08,Closed,475,34231.84,0.253
LOAN-0494,CUST-01211,Auto,26251.17,15.12,120,425.45,19032.1,2022-03-18,Active,658,77076.14,0.248
LOAN-0495,CUST-00918,Business,46757.79,12.15,360,486.36,43380.84,2022-10-20,Active,640,96466.69,0.598
LOAN-0496,CUST-00157,Auto,256679.55,11.12,120,3553.22,201065.65,2022-10-09,Active,850,25361.97,0.172
LOAN-0497,CUST-01308,Auto,19492.67,7.65,24,878.49,0.0,2022-05-02,Closed,652,44419.01,0.369
LOAN-0498,CUST-01340,Business,37905.53,12.48,12,3376.38,0.0,2021-06-04,Closed,718,25317.8,0.435
LOAN-0499,CUST-00700,Mortgage,29421.72,5.8,48,688.28,14097.91,2022-11-01,Active,619,41483.29,0.427
LOAN-0500,CUST-00692,Auto,145745.74,10.78,24,6778.02,0.0,2021-07-25,Closed,848,31340.64,0.176
LOAN-0501,CUST-01064,Auto,344167.64,9.97,24,15876.83,0.0,2021-12-13,Closed,689,80019.08,0.201
LOAN-0502,CUST-01375,Auto,10750.12,18.24,120,195.37,8241.76,2022-08-07,Active,654,139880.49,0.093
LOAN-0503,CUST-01476,Student,51774.86,6.0,48,1215.93,6471.86,2021-06-11,Active,735,73170.27,0.229
LOAN-0504,CUST-01435,Student,17987.11,13.87,60,417.32,10192.7,2022-10-27,Active,751,55935.56,0.209
LOAN-0505,CUST-00984,Personal,63311.96,15.15,120,1027.27,48011.57,2022-07-19,Active,591,25116.29,0.484
LOAN-0506,CUST-00078,Business,32643.71,13.77,60,755.68,11425.3,2021-09-29,Active,810,41455.63,0.251
LOAN-0507,CUST-00247,Personal,172338.22,3.76,60,3155.24,112019.84,2022-05-07,Defaulted,644,108448.04,0.651
LOAN-0508,CUST-00806,Business,12825.59,8.39,12,1117.99,0.0,2021-09-24,Closed,662,44519.45,0.249
LOAN-0509,CUST-01024,Student,17920.47,15.02,120,289.34,12245.65,2021-10-08,Late,470,20581.29,0.319
LOAN-0510,CUST-00879,Business,95435.24,15.12,24,4632.78,0.0,2022-02-07,Closed,477,64550.99,0.412
LOAN-0511,CUST-00157,Business,20169.76,11.26,12,1785.08,0.0,2022-08-20,Closed,850,25361.97,0.172
LOAN-0512,CUST-00752,Student,11482.66,9.65,12,1007.64,0.0,2022-01-15,Closed,497,34384.23,0.219
LOAN-0513,CUST-00411,Business,69970.63,4.42,36,2078.91,0.0,2021-05-18,Closed,850,36904.99,0.2
LOAN-0514,CUST-00025,Auto,110208.78,12.98,60,2506.46,71635.71,2021-03-24,Defaulted,792,27118.66,0.608
LOAN-0515,CUST-00818,Student,22541.84,10.87,360,212.46,14652.2,2022-03-17,Defaulted,649,31154.97,0.385
LOAN-0516,CUST-00667,Auto,22572.67,10.27,24,1044.43,0.0,2021-09-12,Closed,808,20000.0,0.247
LOAN-0517,CUST-00552,Auto,14937.54,15.99,60,363.17,9709.4,2022-05-16,Defaulted,497,60111.0,0.176
LOAN-0518,CUST-01237,Personal,23149.33,4.68,12,1978.36,0.0,2021-03-15,Closed,703,32537.58,0.368
LOAN-0519,CUST-00865,Mortgage,23649.87,11.59,60,521.19,5912.47,2021-03-16,Active,762,33864.45,0.338
LOAN-0520,CUST-00044,Auto,210994.39,13.02,12,18847.42,0.0,2022-09-09,Closed,743,61913.48,0.208
LOAN-0521,CUST-00015,Business,178435.67,7.4,48,4306.06,115983.19,2022-05-02,Defaulted,700,127328.31,0.217
LOAN-0522,CUST-00155,Personal,14568.36,18.39,24,730.06,0.0,2022-08-29,Closed,752,35836.87,0.13
LOAN-0523,CUST-00591,Auto,55429.99,14.25,120,868.99,40186.74,2022-03-04,Active,801,39811.42,0.133
LOAN-0524,CUST-00613,Personal,13352.57,5.8,120,146.9,8234.08,2021-02-04,Active,636,68147.17,0.27
LOAN-0525,CUST-00980,Mortgage,144251.09,14.51,48,3978.88,45078.47,2022-03-30,Active,811,64005.87,0.274
LOAN-0526,CUST-00644,Student,85739.93,6.23,120,961.82,52872.96,2021-02-15,Active,850,43129.84,0.371
LOAN-0527,CUST-01263,Mortgage,58262.84,17.37,12,5324.08,0.0,2022-04-27,Closed,730,138009.47,0.179
LOAN-0528,CUST-00577,Personal,61528.61,17.6,60,1549.06,23585.97,2021-11-01,Active,650,22332.35,0.25
LOAN-0529,CUST-01481,Student,52645.01,7.18,60,1046.91,29832.17,2022-10-01,Active,720,143353.71,0.328
LOAN-0530,CUST-01474,Student,17567.9,18.31,360,269.21,16055.11,2022-05-03,Active,674,30464.89,0.369
LOAN-0531,CUST-01309,Business,3762.15,12.95,48,100.84,548.65,2021-07-17,Active,570,32043.43,0.245
LOAN-0532,CUST-00179,Student,50072.79,12.62,60,1129.59,29209.13,2022-11-25,Active,670,55611.9,0.147
LOAN-0533,CUST-00581,Student,30793.45,6.07,360,186.01,27885.18,2022-02-14,Active,773,40522.64,0.2
LOAN-0534,CUST-00487,Student,47180.6,15.1,12,4260.67,0.0,2021-10-25,Closed,569,171318.64,0.323
LOAN-0535,CUST-00542,Business,191204.76,11.91,12,16980.26,0.0,2021-03-30,Closed,649,118393.75,0.405
LOAN-0536,CUST-01498,Auto,27240.88,15.46,36,950.46,3026.76,2022-04-23,Active,741,96333.38,0.348
LOAN-0537,CUST-01345,Personal,49075.68,5.59,60,939.44,13086.85,2021-04-03,Active,779,56517.48,0.249
LOAN-0538,CUST-00702,Auto,15318.95,7.61,60,307.76,6382.9,2022-01-14,Active,842,43199.75,0.421
LOAN-0539,CUST-00292,Student,16801.36,17.33,36,601.78,2800.23,2022-06-30,Active,850,109702.54,0.123
LOAN-0540,CUST-00285,Mortgage,140697.66,5.28,60,2673.22,44554.26,2021-07-29,Active,682,43223.72,0.363
LOAN-0541,CUST-01114,Business,62668.86,10.18,60,1337.09,40734.76,2022-10-31,Defaulted,712,68390.63,0.536
LOAN-0542,CUST-00996,Personal,203589.92,3.7,12,17307.77,0.0,2022-11-14,Closed,652,47814.39,0.143
LOAN-0543,CUST-00789,Business,12682.41,15.17,60,302.85,4650.22,2021-10-14,Active,592,45329.74,0.261
LOAN-0544,CUST-01489,Personal,10909.96,9.19,24,499.37,0.0,2021-12-11,Closed,773,40248.32,0.268
LOAN-0545,CUST-00045,Auto,53755.54,9.43,36,1720.19,16425.3,2022-11-21,Active,691,87357.72,0.394
LOAN-0546,CUST-00714,Business,7931.74,5.72,36,240.29,1101.63,2022-05-05,Active,702,51512.23,0.39
LOAN-0547,CUST-00884,Mortgage,41723.97,6.77,12,3605.82,0.0,2021-09-27,Closed,631,30478.48,0.52
LOAN-0548,CUST-00750,Personal,66625.85,10.56,12,5874.84,0.0,2021-09-16,Closed,592,50246.11,0.271
LOAN-0549,CUST-00418,Auto,77443.5,5.76,24,3423.97,0.0,2022-11-07,Closed,591,30891.6,0.279
LOAN-0550,CUST-00574,Auto,22460.23,14.24,48,616.47,10294.27,2022-10-16,Active,655,60134.21,0.273
LOAN-0551,CUST-01044,Student,48163.14,8.73,360,378.21,44952.26,2022-12-01,Active,540,140067.64,0.052
LOAN-0552,CUST-00635,Student,128177.94,6.19,360,784.22,83315.66,2022-11-20,Defaulted,579,53483.28,0.094
LOAN-0553,CUST-00831,Business,39658.21,16.85,24,1957.93,0.0,2022-03-21,Closed,576,129829.39,0.135
LOAN-0554,CUST-01198,Business,92311.76,15.36,24,4491.69,0.0,2022-09-26,Closed,797,224890.14,0.381
LOAN-0555,CUST-01220,Student,60156.41,14.43,36,2068.59,0.0,2021-10-23,Closed,700,73411.0,0.442
LOAN-0556,CUST-00054,Auto,19468.84,6.82,12,1682.96,0.0,2021-10-08,Closed,625,46048.02,0.474
LOAN-0557,CUST-00712,Mortgage,20111.26,13.56,120,306.96,15586.23,2022-09-02,Active,735,80919.55,0.23
LOAN-0558,CUST-00682,Business,20322.19,10.83,48,523.56,3810.41,2021-09-03,Late,602,54292.71,0.228
LOAN-0559,CUST-00225,Mortgage,153599.26,16.82,60,3802.49,99839.52,2022-04-21,Defaulted,547,22732.6,0.476
LOAN-0560,CUST-01433,Auto,13028.26,13.68,120,199.79,9011.21,2021-11-24,Active,741,25032.77,0.466
LOAN-0561,CUST-01246,Business,81686.95,15.45,48,2292.09,34036.23,2022-08-23,Active,712,90038.7,0.349
LOAN-0562,CUST-00785,Auto,45540.39,8.81,360,360.22,40227.34,2021-06-26,Active,704,60393.32,0.332
LOAN-0563,CUST-00832,Student,54276.88,6.88,36,1672.94,13569.22,2022-09-21,Active,827,20000.0,0.244
LOAN-0564,CUST-00658,Student,21584.8,7.76,60,435.19,14030.12,2021-03-29,Defaulted,778,70014.78,0.453
LOAN-0565,CUST-00372,Personal,158171.95,8.57,120,1967.03,117310.86,2022-05-09,Active,850,108027.16,0.346
LOAN-0566,CUST-00638,Student,41593.1,5.55,120,452.43,32581.26,2022-10-02,Active,791,59691.32,0.108
LOAN-0567,CUST-00531,Mortgage,60400.99,9.33,360,500.41,53018.65,2021-04-13,Active,800,75615.51,0.051
LOAN-0568,CUST-01116,Auto,17129.29,9.54,120,222.02,10991.29,2021-05-14,Active,812,36488.53,0.179
LOAN-0569,CUST-00530,Auto,21720.79,6.17,24,964.34,0.0,2021-05-30,Closed,527,153525.53,0.332
LOAN-0570,CUST-00969,Student,27279.76,5.13,36,819.19,0.0,2021-05-18,Closed,627,55063.16,0.274
LOAN-0571,CUST-00643,Auto,51934.79,12.37,36,1734.17,14426.33,2022-10-18,Active,734,48554.98,0.335
LOAN-0572,CUST-01190,Personal,92536.83,6.71,60,1819.71,26218.77,2021-05-13,Active,755,34878.7,0.494
LOAN-0573,CUST-00617,Student,16218.35,16.53,120,277.06,10271.62,2021-04-02,Active,817,47855.45,0.26
LOAN-0574,CUST-00830,Auto,27705.7,17.58,60,697.23,12467.56,2022-03-31,Active,688,62662.92,0.512
LOAN-0575,CUST-00907,Auto,9358.89,12.79,36,314.39,0.0,2021-08-06,Closed,762,79645.13,0.466
LOAN-0576,CUST-00649,Mortgage,17223.71,5.47,60,328.75,6602.42,2021-11-09,Late,623,48522.12,0.271
LOAN-0577,CUST-00143,Personal,34736.71,11.67,24,1629.83,0.0,2021-03-27,Closed,664,62368.36,0.495
LOAN-0578,CUST-01458,Student,24559.05,14.46,60,577.32,12688.84,2022-07-04,Active,724,20000.0,0.103
LOAN-0579,CUST-00246,Student,137146.13,11.03,120,1891.52,102859.6,2022-06-27,Active,788,47358.58,0.515
LOAN-0580,CUST-00506,Student,20556.23,12.46,36,687.29,13361.55,2022-03-02,Defaulted,493,62518.47,0.505
LOAN-0581,CUST-00659,Mortgage,103207.98,14.4,36,3547.49,0.0,2021-08-31,Closed,655,63143.92,0.388
LOAN-0582,CUST-00238,Personal,19016.28,9.43,12,1666.8,0.0,2022-07-29,Closed,637,25351.67,0.592
LOAN-0583,CUST-00885,Student,41055.36,13.01,120,613.24,29080.88,2022-01-21,Active,850,44362.4,0.252
LOAN-0584,CUST-01013,Personal,50175.93,9.97,360,439.22,45018.96,2021-11-14,Active,727,40850.24,0.164
LOAN-0585,CUST-00725,Mortgage,12658.94,14.58,360,155.82,11428.21,2022-01-16,Active,728,29875.58,0.105
LOAN-0586,CUST-00396,Student,9478.99,13.99,24,455.07,0.0,2021-07-02,Closed,720,33931.93,0.59
LOAN-0587,CUST-00571,Auto,23637.6,3.92,120,238.42,14576.52,2021-02-17,Active,520,77601.99,0.15
LOAN-0588,CUST-00792,Personal,50687.77,6.61,48,1204.63,15839.93,2022-03-16,Late,771,83292.78,0.509
LOAN-0589,CUST-00917,Student,42407.84,16.97,24,2096.13,0.0,2021-10-29,Closed,652,89084.96,0.549
LOAN-0590,CUST-00449,Student,131251.16,3.77,48,2950.04,57422.38,2022-09-28,Active,730,77396.27,0.452
LOAN-0591,CUST-00963,Business,43196.99,13.84,48,1176.96,28078.04,2022-10-29,Defaulted,661,47346.95,0.254
LOAN-0592,CUST-00729,Student,66069.58,9.29,60,1380.81,18719.71,2021-05-26,Active,679,59411.65,0.577
LOAN-0593,CUST-00776,Business,34987.71,7.39,24,1572.68,0.0,2021-07-12,Closed,623,87469.06,0.278
LOAN-0594,CUST-00613,Business,34032.52,15.23,48,951.12,11344.17,2022-04-15,Active,636,68147.17,0.27
LOAN-0595,CUST-00900,Business,31446.7,16.62,24,1549.06,0.0,2021-07-04,Closed,550,23939.38,0.335
LOAN-0596,CUST-00921,Mortgage,56946.1,18.38,48,1684.12,22541.16,2022-07-15,Active,708,25558.09,0.274
LOAN-0597,CUST-00537,Student,64952.15,5.52,24,2864.69,0.0,2021-05-08,Closed,742,58820.5,0.44
LOAN-0598,CUST-00518,Student,13682.56,5.42,12,1173.96,0.0,2022-08-04,Closed,676,79796.73,0.523
LOAN-0599,CUST-01413,Business,103453.66,4.52,24,4516.45,0.0,2022-10-26,Closed,553,28454.31,0.434
LOAN-0600,CUST-00256,Business,20398.75,11.87,24,959.0,0.0,2022-11-16,Closed,791,31304.84,0.233
LOAN-0601,CUST-00180,Auto,232251.92,3.59,48,5201.53,53224.4,2021-11-04,Active,810,35757.83,0.294
LOAN-0602,CUST-00565,Personal,41002.0,6.99,360,272.51,37129.59,2022-02-24,Active,713,79754.14,0.338
LOAN-0603,CUST-01199,Student,48870.81,15.16,48,1364.08,5090.71,2021-05-04,Late,496,61209.98,0.286
LOAN-0604,CUST-00425,Auto,85911.69,9.75,36,2762.06,0.0,2021-03-04,Closed,770,57866.72,0.316
LOAN-0605,CUST-00720,Auto,23029.48,16.3,12,2092.76,0.0,2021-09-18,Closed,719,86644.56,0.162
LOAN-0606,CUST-00827,Business,19349.59,7.39,24,869.76,0.0,2022-06-18,Closed,507,39677.8,0.278
LOAN-0607,CUST-00079,Auto,40933.04,11.68,48,1071.5,16202.66,2022-07-10,Active,628,46538.7,0.301
LOAN-0608,CUST-00219,Business,37211.54,6.72,12,3214.99,0.0,2021-03-13,Closed,637,41846.09,0.351
LOAN-0609,CUST-00154,Student,40564.04,18.27,120,737.97,31437.13,2022-09-18,Active,592,67003.64,0.243
LOAN-0610,CUST-00183,Student,31942.86,8.95,360,255.87,20762.86,2022-02-15,Defaulted,610,162879.38,0.444
LOAN-0611,CUST-00696,Student,41435.21,8.08,360,306.35,38097.37,2022-07-14,Active,803,147161.59,0.182
LOAN-0612,CUST-01051,Business,26778.69,17.18,24,1326.32,0.0,2021-07-04,Closed,660,33909.32,0.166
LOAN-0613,CUST-00612,Business,31135.06,8.71,12,2718.62,0.0,2021-03-10,Closed,702,30437.3,0.493
LOAN-0614,CUST-00647,Auto,14793.15,11.16,12,1308.55,0.0,2022-10-06,Closed,630,69162.78,0.414
LOAN-0615,CUST-00324,Auto,24528.15,16.66,60,605.11,12264.08,2022-06-30,Active,666,61598.61,0.256
LOAN-0616,CUST-00368,Student,28421.43,15.62,120,469.39,22026.61,2022-09-04,Active,809,156728.63,0.108
LOAN-0617,CUST-00241,Student,15497.01,14.6,36,534.18,0.0,2021-11-12,Closed,610,48929.45,0.486
LOAN-0618,CUST-00798,Auto,27249.19,5.83,120,300.2,20891.05,2022-08-20,Active,750,28717.89,0.268
LOAN-0619,CUST-00006,Business,24417.53,7.08,12,2113.67,0.0,2021-06-30,Closed,575,94126.95,0.611
LOAN-0620,CUST-00872,Auto,15692.99,6.31,24,697.72,0.0,2022-04-02,Closed,761,45014.2,0.273
LOAN-0621,CUST-00783,Personal,32893.77,13.48,24,1571.26,0.0,2021-03-25,Closed,756,60404.2,0.581
LOAN-0622,CUST-00768,Student,8427.3,4.58,360,43.1,7537.75,2021-10-11,Active,694,66867.26,0.234
LOAN-0623,CUST-00775,Personal,53532.28,4.95,120,566.49,35242.08,2021-07-23,Active,560,93831.92,0.284
LOAN-0624,CUST-00285,Mortgage,68597.71,9.56,120,889.89,48590.04,2022-01-25,Active,682,43223.72,0.363
LOAN-0625,CUST-00760,Personal,20041.8,7.65,48,485.99,8350.75,2022-08-28,Active,573,209482.94,0.205
LOAN-0626,CUST-01234,Mortgage,20543.1,17.42,24,1019.85,0.0,2021-12-31,Closed,705,34939.54,0.175
LOAN-0627,CUST-00903,Auto,19470.3,11.83,12,1728.36,0.0,2022-01-15,Closed,715,117374.01,0.241
LOAN-0628,CUST-00619,Student,23485.48,5.8,36,712.35,0.0,2021-09-21,Closed,722,65635.39,0.419
LOAN-0629,CUST-01334,Student,45935.22,13.26,36,1553.5,6379.89,2022-05-06,Late,765,45127.68,0.373
LOAN-0630,CUST-00051,Student,23371.2,14.87,24,1131.75,0.0,2022-04-05,Closed,780,171403.33,0.108
LOAN-0631,CUST-01451,Personal,48575.53,5.93,360,289.05,42908.38,2021-06-10,Active,736,38488.36,0.479
LOAN-0632,CUST-01132,Business,56889.64,6.65,12,4913.3,0.0,2022-09-22,Closed,563,42649.62,0.232
LOAN-0633,CUST-00238,Auto,12035.12,4.65,360,62.06,11132.49,2022-09-19,Active,637,25351.67,0.592
LOAN-0634,CUST-00417,Business,29316.97,6.29,36,895.74,19056.03,2022-06-30,Defaulted,640,25546.61,0.487
LOAN-0635,CUST-00259,Mortgage,54778.1,17.07,48,1582.61,35605.76,2021-09-07,Defaulted,745,52433.88,0.772
LOAN-0636,CUST-01344,Business,70323.93,3.78,12,5981.01,0.0,2022-11-16,Closed,605,51285.29,0.349
LOAN-0637,CUST-00918,Personal,19300.91,17.21,60,481.86,9650.45,2022-06-05,Active,640,96466.69,0.598
LOAN-0638,CUST-00750,Mortgage,12913.03,7.81,12,1122.15,0.0,2022-07-27,Closed,592,50246.11,0.271
LOAN-0639,CUST-00780,Mortgage,49433.81,6.26,120,555.29,32543.92,2021-07-27,Active,696,98654.51,0.32
LOAN-0640,CUST-01441,Student,73787.16,11.01,60,1604.68,43042.51,2022-11-30,Active,688,127727.09,0.185
LOAN-0641,CUST-00728,Personal,90872.13,16.71,36,3226.74,0.0,2021-02-18,Closed,606,123775.87,0.441
LOAN-0642,CUST-00270,Mortgage,54596.89,16.66,48,1565.81,18198.96,2022-04-17,Active,753,26170.91,0.513
LOAN-0643,CUST-00391,Student,25994.51,6.92,24,1162.9,0.0,2021-12-08,Closed,630,54095.76,0.033
LOAN-0644,CUST-00293,Business,49539.4,7.34,36,1537.35,0.0,2021-05-13,Closed,707,26196.11,0.427
LOAN-0645,CUST-00512,Student,69627.29,12.85,36,2340.99,45257.74,2022-03-20,Defaulted,560,177175.88,0.257
LOAN-0646,CUST-00899,Personal,49221.87,17.85,12,4509.15,0.0,2022-04-02,Closed,685,91516.17,0.077
LOAN-0647,CUST-01241,Business,5387.93,9.98,48,136.6,1459.23,2022-01-22,Active,684,63241.06,0.138
LOAN-0648,CUST-01254,Personal,16818.26,16.48,12,1529.76,0.0,2021-03-15,Closed,569,41927.64,0.278
LOAN-0649,CUST-01119,Student,16736.27,8.46,60,343.05,9483.89,2022-10-14,Active,569,46251.97,0.126
LOAN-0650,CUST-00148,Personal,38415.2,13.39,24,1833.37,0.0,2021-11-25,Closed,718,32810.51,0.507
LOAN-0651,CUST-00871,Student,39887.59,17.56,360,586.83,35566.43,2021-09-16,Active,810,30387.73,0.272
LOAN-0652,CUST-00913,Mortgage,36570.12,8.77,36,1159.01,0.0,2021-07-31,Closed,762,62201.56,0.077
LOAN-0653,CUST-00103,Personal,157632.25,7.51,360,1103.27,143182.63,2022-03-18,Active,573,20000.0,0.143
LOAN-0654,CUST-00200,Personal,6657.3,12.07,24,313.6,0.0,2021-06-10,Closed,738,30781.46,0.403
LOAN-0655,CUST-00191,Personal,8732.82,15.68,360,115.18,8053.6,2022-08-28,Active,783,118166.66,0.47
LOAN-0656,CUST-01007,Student,46065.23,7.69,60,927.22,12284.06,2021-04-12,Active,635,72097.26,0.524
LOAN-0657,CUST-01331,Business,11288.0,4.83,36,337.45,0.0,2021-12-17,Closed,654,28070.86,0.435
LOAN-0658,CUST-01165,Student,33356.05,13.27,60,763.57,15010.22,2022-03-18,Active,684,26240.85,0.252
LOAN-0659,CUST-01073,Business,86982.97,11.76,360,878.68,77076.58,2021-07-25,Active,829,78209.29,0.086
LOAN-0660,CUST-01188,Student,44104.07,9.71,360,377.63,38468.55,2021-02-26,Active,533,200081.78,0.143
LOAN-0661,CUST-00328,Student,76667.53,9.35,24,3514.86,0.0,2022-08-03,Closed,760,67747.59,0.508
LOAN-0662,CUST-00494,Personal,15928.78,4.14,24,692.7,0.0,2021-12-05,Closed,734,62553.58,0.193
LOAN-0663,CUST-00362,Student,37122.16,13.67,48,1008.28,7733.78,2021-10-27,Active,700,40257.21,0.262
LOAN-0664,CUST-00562,Student,33273.85,14.26,120,521.85,25232.67,2022-07-30,Active,737,42526.42,0.288
LOAN-0665,CUST-00828,Personal,29565.66,13.67,60,682.89,14782.83,2022-06-25,Active,719,137791.18,0.312
LOAN-0666,CUST-01495,Student,53113.33,16.9,360,752.91,47802.0,2021-12-17,Active,460,31262.88,0.288
LOAN-0667,CUST-00291,Mortgage,44031.21,12.0,360,452.91,28620.29,2022-07-07,Defaulted,588,90341.36,0.375
LOAN-0668,CUST-00609,Personal,32983.19,14.52,48,909.94,13055.85,2022-07-07,Active,584,30351.33,0.364
LOAN-0669,CUST-00531,Mortgage,6883.75,8.52,48,169.74,2724.82,2022-07-26,Active,800,75615.51,0.051
LOAN-0670,CUST-01351,Personal,25782.81,8.49,120,319.53,18262.82,2022-01-25,Active,509,39904.11,0.268
LOAN-0671,CUST-00918,Business,247131.77,6.9,120,2856.69,160635.65,2021-06-25,Active,640,96466.69,0.598
LOAN-0672,CUST-00941,Student,13611.68,7.21,12,1179.09,0.0,2021-02-08,Closed,677,58820.62,0.552
LOAN-0673,CUST-00217,Mortgage,86029.17,5.34,12,7378.15,0.0,2022-02-01,Closed,669,43447.45,0.25
LOAN-0674,CUST-00804,Mortgage,95691.37,12.56,36,3203.98,0.0,2021-10-14,Closed,661,41723.54,0.128
LOAN-0675,CUST-00761,Business,38552.63,6.76,48,918.9,25059.21,2021-10-13,Defaulted,750,119358.41,0.371
LOAN-0676,CUST-00406,Personal,13287.32,10.64,120,180.34,8636.76,2022-04-28,Defaulted,783,74068.43,0.48
LOAN-0677,CUST-01500,Auto,168016.17,13.61,48,4558.49,70006.74,2022-08-30,Active,850,142760.95,0.343
LOAN-0678,CUST-01246,Business,28927.86,4.73,60,542.33,13017.54,2022-03-13,Active,712,90038.7,0.349
LOAN-0679,CUST-00793,Student,26945.45,12.35,360,284.44,17514.54,2021-06-24,Defaulted,559,186749.67,0.586
LOAN-0680,CUST-00939,Auto,13327.88,15.25,60,318.82,4442.63,2021-08-02,Active,679,64283.17,0.267
LOAN-0681,CUST-00745,Personal,71124.51,13.97,24,3413.88,0.0,2022-02-21,Closed,568,68268.6,0.301
LOAN-0682,CUST-00089,Mortgage,24756.22,8.14,48,606.0,11346.6,2022-10-30,Active,710,36803.61,0.287
LOAN-0683,CUST-00828,Business,57116.21,15.52,24,2783.51,0.0,2021-03-12,Closed,719,137791.18,0.312
LOAN-0684,CUST-00337,Mortgage,84021.01,13.79,360,981.59,76085.69,2022-02-20,Active,686,89493.41,0.169
LOAN-0685,CUST-01067,Business,13974.28,16.01,36,491.36,9083.28,2022-05-28,Defaulted,713,49878.9,0.377
LOAN-0686,CUST-00828,Mortgage,94492.68,17.52,360,1387.11,83206.05,2021-05-06,Active,719,137791.18,0.312
LOAN-0687,CUST-00660,Personal,53630.61,4.55,48,1224.17,13407.65,2021-12-15,Active,639,39165.79,0.708
LOAN-0688,CUST-00382,Personal,99974.97,10.8,360,937.01,88311.22,2021-06-05,Late,571,40527.3,0.316
LOAN-0689,CUST-01396,Auto,134289.54,18.31,24,6724.42,0.0,2021-02-16,Closed,732,116686.78,0.151
LOAN-0690,CUST-00756,Auto,89292.29,4.59,48,2039.8,5580.77,2021-03-11,Active,608,93378.83,0.299
LOAN-0691,CUST-01253,Business,29509.28,3.93,24,1280.52,0.0,2021-08-26,Closed,720,72247.84,0.459
LOAN-0692,CUST-00425,Auto,33761.2,4.24,24,1469.69,0.0,2022-01-11,Closed,770,57866.72,0.316
LOAN-0693,CUST-01411,Business,7055.1,17.72,120,125.85,5114.95,2022-03-22,Active,794,97754.02,0.05
LOAN-0694,CUST-00071,Mortgage,68953.09,9.6,120,896.02,54013.25,2022-10-03,Active,634,38233.81,0.135
LOAN-0695,CUST-00129,Auto,46417.37,4.02,60,855.27,24755.93,2022-08-29,Active,703,84805.23,0.166
LOAN-0696,CUST-01088,Auto,50351.22,4.66,60,942.37,21818.86,2022-02-14,Active,683,178769.23,0.14
LOAN-0697,CUST-00895,Personal,74238.88,5.28,48,1719.1,15466.43,2021-10-16,Active,743,21367.09,0.154
LOAN-0698,CUST-00219,Mortgage,4901.96,4.6,24,214.18,0.0,2021-05-23,Closed,637,41846.09,0.351
LOAN-0699,CUST-00814,Business,18836.06,5.46,60,359.44,5022.95,2021-04-20,Active,634,83684.13,0.29
LOAN-0700,CUST-01469,Business,28086.87,17.98,36,1015.13,0.0,2021-10-21,Closed,515,103317.23,0.109
LOAN-0701,CUST-01266,Student,11073.28,7.26,60,220.63,4982.98,2022-03-14,Active,637,241189.08,0.323
LOAN-0702,CUST-00562,Business,89709.33,11.52,360,889.75,81236.78,2022-02-05,Active,737,42526.42,0.288
LOAN-0703,CUST-01388,Business,110347.96,10.03,24,5093.53,0.0,2022-05-14,Closed,781,86600.41,0.46
LOAN-0704,CUST-00972,Auto,43073.17,9.46,120,556.41,29792.28,2021-11-23,Active,475,34231.84,0.253
LOAN-0705,CUST-01042,Student,41743.05,4.6,48,953.77,18262.58,2022-09-16,Active,630,140922.51,0.124
LOAN-0706,CUST-00748,Mortgage,23428.68,18.01,360,353.28,21346.13,2022-04-29,Active,564,39859.89,0.225
LOAN-0707,CUST-01180,Student,20378.74,16.48,120,347.49,13246.18,2021-05-14,Defaulted,776,48418.53,0.322
LOAN-0708,CUST-00821,Mortgage,20535.81,9.11,48,512.11,13348.28,2021-08-08,Defaulted,688,31303.67,0.164
LOAN-0709,CUST-00865,Business,12173.98,14.74,24,588.77,0.0,2022-01-21,Closed,762,33864.45,0.338
LOAN-0710,CUST-00136,Personal,21164.66,9.55,60,445.01,4938.42,2021-02-19,Active,689,66509.79,0.1
LOAN-0711,CUST-01397,Personal,134746.09,7.23,60,2682.78,56144.2,2022-01-13,Active,710,47696.02,0.365
LOAN-0712,CUST-01066,Business,9904.82,16.25,36,349.45,275.13,2022-01-26,Active,665,20000.0,0.563
LOAN-0713,CUST-00982,Business,79695.14,9.21,36,2542.08,0.0,2021-07-13,Closed,585,36065.46,0.309
LOAN-0714,CUST-01264,Business,12889.45,5.73,24,569.7,0.0,2022-07-13,Closed,752,77168.76,0.216
